Data;Produto;Quantidade;Valor;Região
17/01/2024;Estojo;63;55.02;Pernambuco
17/01/2024;Borracha;15;45.75;Mato Grosso do Sul
17/01/2024;Marcador;26;91.69;Paraíba
17/01/2024;Régua;61;136.27;Piauí
18/01/2024;Lápis;26;115.07;Pará
18/01/2024;Régua;91;97.39;Goiás
18/01/2024;Marcador;43;105.42;Minas Gerais
18/01/2024;Marcador;27;6.58;Rio de Janeiro
18/01/2024;Marcador;5;34.02;Bahia
18/01/2024;Caneta;24;125.81;Rio Grande do Norte
18/01/2024;Lápis;333;115.28;São Paulo
18/01/2024;Lápis;82;195.9;Paraíba
18/01/2024;Caderno;92;145.87;Piauí
18/01/2024;Estojo;15;41.1;Sergipe
18/01/2024;Borracha;23;61.93;Mato Grosso
19/01/2024;Borracha;69;156.42;Rio de Janeiro
19/01/2024;Caneta;77;82.07;Bahia
19/01/2024;Lápis;20;141.69;Pará
19/01/2024;Estojo;37;137.47;Espírito Santo
19/01/2024;Marcador;159;195.47;São Paulo
20/01/2024;Agenda;54;193.85;Alagoas
20/01/2024;Lápis;78;8.6;Mato Grosso do Sul
20/01/2024;Régua;57;198.37;Rio de Janeiro
20/01/2024;Caderno;59;95.27;Rio Grande do Sul
20/01/2024;Agenda;75;115.86;Rio Grande do Sul
20/01/2024;Estojo;17;148.38;Tocantins
20/01/2024;Borracha;32;162.48;Espírito Santo
20/01/2024;Régua;100;156.75;Amazonas
20/01/2024;Lápis;21;148.96;Alagoas
20/01/2024;Marcador;89;65.7;Amapá
20/01/2024;Régua;59;25.16;Santa Catarina
21/01/2024;Agenda;98;79.06;Rio Grande do Norte
21/01/2024;Caderno;93;98.25;Rio Grande do Norte
21/01/2024;Régua;98;193.86;Tocantins
21/01/2024;Marcador;90;126.74;Rio Grande do Norte
21/01/2024;Caderno;54;20.7;Paraíba
21/01/2024;Marcador;71;86.6;Minas Gerais
21/01/2024;Agenda;1;130.25;Amazonas
21/01/2024;Caderno;88;89.79;Rondônia
21/01/2024;Estojo;99;60.42;Santa Catarina
21/01/2024;Agenda;62;126.13;Mato Grosso do Sul
21/01/2024;Caderno;14;153.15;Bahia
21/01/2024;Régua;1;169.64;Piauí
21/01/2024;Caneta;23;116.38;Ceará
22/01/2024;Caneta;95;11.69;Acre
22/01/2024;Marcador;64;112.59;Rio de Janeiro
22/01/2024;Régua;27;114.99;Roraima
22/01/2024;Lápis;23;69.62;Pernambuco
22/01/2024;Estojo;59;110.59;Ceará
22/01/2024;Agenda;98;55.47;Pernambuco
22/01/2024;Caderno;24;174.27;Rio Grande do Sul
22/01/2024;Lápis;52;124.46;Alagoas
22/01/2024;Caneta;15;79.97;Ceará
22/01/2024;Lápis;16;42.76;Goiás
22/01/2024;Agenda;20;18.13;Santa Catarina
23/01/2024;Régua;42;68.88;Sergipe
23/01/2024;Marcador;78;35.2;Rio Grande do Norte
23/01/2024;Agenda;34;195.61;Santa Catarina
23/01/2024;Caderno;66;140.36;Pará
23/01/2024;Marcador;99;27.6;Sergipe
24/01/2024;Borracha;81;83.16;Pernambuco
24/01/2024;Agenda;4;185.74;Espírito Santo
24/01/2024;Agenda;20;44.68;Mato Grosso
24/01/2024;Caneta;33;162.57;Santa Catarina
24/01/2024;Caneta;32;84.36;Goiás
24/01/2024;Marcador;70;18.84;Maranhão
24/01/2024;Estojo;52;66.1;Piauí
24/01/2024;Borracha;98;70.86;Alagoas
25/01/2024;Marcador;64;138.82;Espírito Santo
25/01/2024;Régua;84;45.17;Rio Grande do Norte
25/01/2024;Lápis;44;170.31;Acre
25/01/2024;Lápis;21;43.47;Alagoas
25/01/2024;Caneta;21;197.2;Pará
25/01/2024;Agenda;88;20.67;Sergipe
25/01/2024;Marcador;76;98.11;Santa Catarina
25/01/2024;Régua;8;75.95;Alagoas
25/01/2024;Borracha;94;121.26;Rio de Janeiro
25/01/2024;Caderno;78;131.6;Goiás
26/01/2024;Marcador;94;6.99;Maranhão
26/01/2024;Caderno;40;146.87;Distrito Federal
26/01/2024;Régua;96;77.63;Distrito Federal
26/01/2024;Marcador;97;168.55;Bahia
26/01/2024;Agenda;74;45.61;Alagoas
27/01/2024;Marcador;79;79.54;Mato Grosso
27/01/2024;Agenda;79;110.01;Santa Catarina
27/01/2024;Marcador;84;10.29;São Paulo
27/01/2024;Borracha;69;94.22;São Paulo
27/01/2024;Régua;9;100.09;Minas Gerais
28/01/2024;Caneta;93;60.77;Maranhão
28/01/2024;Caderno;44;196.43;Amapá
28/01/2024;Estojo;3;185.86;São Paulo
28/01/2024;Agenda;92;175.24;Roraima
28/01/2024;Lápis;93;39.14;Santa Catarina
28/01/2024;Caneta;5;22.22;Mato Grosso
28/01/2024;Caneta;45;88.73;Roraima
28/01/2024;Régua;30;151.04;Pernambuco
28/01/2024;Borracha;8;53.02;Rio Grande do Sul
28/01/2024;Marcador;36;94.29;Roraima
28/01/2024;Régua;14;80.82;Bahia
28/01/2024;Agenda;57;69.81;Minas Gerais
28/01/2024;Estojo;5;70.38;Amapá
28/01/2024;Régua;26;65.28;Espírito Santo
29/01/2024;Lápis;9;72.8;Minas Gerais
29/01/2024;Agenda;15;130.58;Sergipe
29/01/2024;Agenda;3;6.64;Santa Catarina
29/01/2024;Agenda;84;153.81;São Paulo
29/01/2024;Borracha;100;91.4;Roraima
29/01/2024;Marcador;92;152.18;Rondônia
29/01/2024;Agenda;32;35.19;Mato Grosso do Sul
29/01/2024;Estojo;72;159.96;Mato Grosso
29/01/2024;Caderno;80;40.31;São Paulo
29/01/2024;Agenda;18;61.86;Distrito Federal
29/01/2024;Estojo;8;160.56;Roraima
30/01/2024;Estojo;93;22.75;Maranhão
30/01/2024;Agenda;12;120.7;Pernambuco
30/01/2024;Agenda;93;57.92;Mato Grosso do Sul
30/01/2024;Régua;91;119.91;Piauí
30/01/2024;Estojo;2;190.41;Rio Grande do Sul
30/01/2024;Borracha;93;62.73;Pará
30/01/2024;Caderno;79;32.98;Pará
31/01/2024;Caneta;100;55.94;Amazonas
31/01/2024;Estojo;64;31.93;Distrito Federal
31/01/2024;Agenda;89;101.57;Sergipe
31/01/2024;Caneta;48;7.71;Bahia
31/01/2024;Caneta;99;79.42;Mato Grosso do Sul
01/02/2024;Estojo;86;83.21;Sergipe
01/02/2024;Estojo;85;18.98;Rondônia
01/02/2024;Caderno;83;196.86;Tocantins
01/02/2024;Borracha;68;52.05;Rio Grande do Sul
01/02/2024;Régua;28;125.53;Rio de Janeiro
01/02/2024;Régua;30;46.83;Maranhão
02/02/2024;Estojo;48;120.33;Rondônia
02/02/2024;Marcador;69;177.83;Rio Grande do Norte
02/02/2024;Caderno;46;151.18;Rio de Janeiro
02/02/2024;Caneta;91;150.33;Bahia
02/02/2024;Lápis;89;131.61;Minas Gerais
02/02/2024;Estojo;6;169.06;Pará
02/02/2024;Régua;79;84.37;Bahia
02/02/2024;Lápis;99;178.68;São Paulo
02/02/2024;Marcador;73;154.3;São Paulo
02/02/2024;Régua;7;30.08;Rio Grande do Norte
03/02/2024;Caderno;26;125.88;Mato Grosso
03/02/2024;Estojo;65;93.81;Distrito Federal
03/02/2024;Lápis;11;70.22;Mato Grosso do Sul
03/02/2024;Caneta;74;174.71;São Paulo
03/02/2024;Régua;59;45.53;Maranhão
03/02/2024;Caneta;18;138.51;Maranhão
03/02/2024;Agenda;8;105.29;Maranhão
03/02/2024;Lápis;48;68.9;Alagoas
03/02/2024;Borracha;75;18.67;Acre
03/02/2024;Régua;36;42.92;Bahia
03/02/2024;Estojo;60;189.02;Pernambuco
04/02/2024;Caderno;89;162.82;Mato Grosso
04/02/2024;Caneta;73;34.66;Amapá
04/02/2024;Caderno;62;7.33;Rondônia
04/02/2024;Marcador;94;149.11;Roraima
04/02/2024;Marcador;4;138.92;Ceará
04/02/2024;Caderno;10;63.55;Goiás
04/02/2024;Marcador;83;163.24;Tocantins
04/02/2024;Marcador;61;179.21;São Paulo
04/02/2024;Régua;66;74.38;Ceará
04/02/2024;Lápis;94;136.38;Paraíba
04/02/2024;Lápis;92;73.49;Pará
04/02/2024;Lápis;82;141.91;Pernambuco
04/02/2024;Lápis;92;25.77;Sergipe
05/02/2024;Lápis;98;184.02;Pará
05/02/2024;Régua;12;51.09;Goiás
05/02/2024;Marcador;35;73.09;Rio Grande do Sul
05/02/2024;Lápis;73;171.51;Minas Gerais
05/02/2024;Régua;72;33.34;Maranhão
05/02/2024;Lápis;90;154.9;São Paulo
05/02/2024;Borracha;47;116.41;Rio Grande do Sul
05/02/2024;Estojo;85;108.89;Paraíba
06/02/2024;Régua;19;7.96;Rondônia
06/02/2024;Lápis;89;115.09;Rio Grande do Norte
06/02/2024;Marcador;58;82.24;Distrito Federal
06/02/2024;Estojo;21;43.16;Ceará
06/02/2024;Agenda;24;172.35;Espírito Santo
06/02/2024;Borracha;26;105.21;Mato Grosso do Sul
06/02/2024;Agenda;17;190.14;Pará
06/02/2024;Agenda;80;195.82;Roraima
06/02/2024;Caneta;62;85.1;Roraima
06/02/2024;Caneta;96;25.51;Mato Grosso do Sul
06/02/2024;Caderno;80;192.25;Rio Grande do Norte
06/02/2024;Caderno;46;187.98;Alagoas
06/02/2024;Caneta;78;69.25;Amazonas
06/02/2024;Régua;83;139.72;Roraima
06/02/2024;Agenda;53;84.94;Rondônia
07/02/2024;Borracha;2;87.47;Roraima
07/02/2024;Caneta;95;104.02;Paraná
07/02/2024;Régua;42;60.63;Sergipe
07/02/2024;Agenda;57;66.06;Alagoas
07/02/2024;Caderno;22;101.03;Rio Grande do Sul
07/02/2024;Agenda;7;10.86;Rio Grande do Norte
07/02/2024;Borracha;33;134.88;Distrito Federal
08/02/2024;Caderno;86;170.01;Pernambuco
08/02/2024;Lápis;14;182.04;Rondônia
08/02/2024;Régua;19;98.33;Piauí
08/02/2024;Caneta;88;146.9;Tocantins
08/02/2024;Régua;48;78.87;Alagoas
08/02/2024;Régua;9;172.6;Goiás
08/02/2024;Agenda;35;30.42;Roraima
08/02/2024;Agenda;40;66.77;Rondônia
09/02/2024;Agenda;69;66.91;Mato Grosso do Sul
09/02/2024;Régua;40;128.12;Paraíba
09/02/2024;Estojo;77;159.7;Distrito Federal
09/02/2024;Borracha;14;22.64;Mato Grosso do Sul
09/02/2024;Borracha;28;137.66;Rio Grande do Sul
09/02/2024;Estojo;35;60.26;Distrito Federal
09/02/2024;Caderno;72;109.77;Espírito Santo
09/02/2024;Estojo;13;7.84;Paraíba
09/02/2024;Estojo;28;167.49;Paraná
09/02/2024;Marcador;20;15.81;Amazonas
09/02/2024;Borracha;74;133.24;Piauí
09/02/2024;Borracha;78;42.84;Rio Grande do Sul
09/02/2024;Estojo;6;24.74;Espírito Santo
10/02/2024;Agenda;84;68.54;Mato Grosso do Sul
10/02/2024;Lápis;93;22.11;Maranhão
10/02/2024;Lápis;20;68.3;Alagoas
10/02/2024;Borracha;85;153.78;Tocantins
10/02/2024;Estojo;2;120.48;Amapá
10/02/2024;Borracha;47;14.54;Amazonas
10/02/2024;Borracha;76;103.76;Amazonas
10/02/2024;Lápis;75;48.58;Ceará
10/02/2024;Borracha;99;189.67;Distrito Federal
11/02/2024;Caneta;37;59.3;Distrito Federal
11/02/2024;Caderno;70;150.13;Amapá
11/02/2024;Agenda;13;122.95;Minas Gerais
11/02/2024;Caderno;54;53.28;Piauí
11/02/2024;Caderno;96;184.19;Distrito Federal
11/02/2024;Caderno;85;151.02;Paraná
11/02/2024;Caneta;36;153.08;Rio de Janeiro
11/02/2024;Caneta;24;9.58;Paraná
11/02/2024;Caneta;5;43.46;Pará
12/02/2024;Caneta;30;142.43;Sergipe
12/02/2024;Marcador;43;19.06;Pará
12/02/2024;Lápis;58;113.53;Pará
12/02/2024;Borracha;46;116.59;Rio Grande do Sul
12/02/2024;Borracha;86;111.4;Amazonas
12/02/2024;Agenda;28;48.66;Pernambuco
12/02/2024;Estojo;40;40.25;Rio de Janeiro
12/02/2024;Lápis;76;175.44;Maranhão
12/02/2024;Estojo;25;6.93;Espírito Santo
12/02/2024;Borracha;30;122.92;São Paulo
12/02/2024;Lápis;57;142.12;Rio Grande do Norte
12/02/2024;Agenda;66;101.43;Espírito Santo
12/02/2024;Estojo;10;44.7;Bahia
13/02/2024;Estojo;27;19.2;São Paulo
13/02/2024;Borracha;52;116.81;Ceará
13/02/2024;Agenda;22;144.12;Goiás
13/02/2024;Caderno;11;77.03;Piauí
13/02/2024;Caneta;25;171.72;Rio Grande do Sul
13/02/2024;Lápis;67;35.89;Pará
13/02/2024;Régua;14;144.14;Mato Grosso do Sul
13/02/2024;Marcador;13;195.55;Mato Grosso
13/02/2024;Marcador;79;72.91;Acre
13/02/2024;Marcador;24;174.8;São Paulo
13/02/2024;Caderno;28;7.82;Paraná
13/02/2024;Régua;45;43.19;Ceará
13/02/2024;Régua;20;18.63;Santa Catarina
13/02/2024;Estojo;98;148.61;Paraíba
13/02/2024;Régua;9;155.77;Rondônia
14/02/2024;Régua;54;171.83;Pernambuco
14/02/2024;Estojo;98;98.76;Sergipe
14/02/2024;Régua;71;198.76;Mato Grosso do Sul
14/02/2024;Marcador;64;134.84;Piauí
14/02/2024;Borracha;62;60.29;Minas Gerais
14/02/2024;Borracha;62;73.44;Rio Grande do Sul
14/02/2024;Régua;27;86.96;Distrito Federal
14/02/2024;Borracha;13;27.93;Rondônia
14/02/2024;Estojo;58;130.34;Pernambuco
14/02/2024;Marcador;99;167.71;Paraíba
14/02/2024;Borracha;94;103.11;Minas Gerais
14/02/2024;Lápis;49;104.61;Rio Grande do Norte
14/02/2024;Marcador;59;143.93;Goiás
15/02/2024;Marcador;86;68.97;Tocantins
15/02/2024;Caderno;59;192.68;Amapá
15/02/2024;Caneta;34;60.03;Goiás
15/02/2024;Borracha;1;158.51;Roraima
15/02/2024;Régua;12;57.73;Minas Gerais
15/02/2024;Borracha;19;57.26;Acre
15/02/2024;Caderno;57;145.47;Espírito Santo
15/02/2024;Borracha;12;64.4;Mato Grosso
15/02/2024;Régua;97;46.34;Mato Grosso do Sul
15/02/2024;Lápis;39;132.43;Mato Grosso do Sul
16/02/2024;Caneta;72;162.12;Amazonas
16/02/2024;Agenda;24;100.52;Rio de Janeiro
16/02/2024;Caderno;51;57.87;Mato Grosso do Sul
16/02/2024;Estojo;22;9.13;Amazonas
16/02/2024;Marcador;84;73.55;Distrito Federal
16/02/2024;Agenda;22;19.24;Rio Grande do Sul
16/02/2024;Lápis;9;49.53;Paraná
16/02/2024;Caderno;39;17.22;Santa Catarina
16/02/2024;Borracha;89;77.93;Rio de Janeiro
16/02/2024;Estojo;97;89.91;Rio de Janeiro
16/02/2024;Régua;59;168.22;Tocantins
16/02/2024;Régua;72;181.71;Pará
16/02/2024;Marcador;78;21.29;Espírito Santo
16/02/2024;Caneta;3;175.85;São Paulo
17/02/2024;Lápis;89;45.58;Roraima
17/02/2024;Estojo;80;9.02;Rondônia
17/02/2024;Borracha;9;22.31;Rio Grande do Norte
17/02/2024;Marcador;35;168.82;Goiás
17/02/2024;Caderno;59;137.84;Minas Gerais
17/02/2024;Borracha;57;97.88;Tocantins
17/02/2024;Régua;34;133;Paraná
17/02/2024;Lápis;96;112.75;Distrito Federal
17/02/2024;Agenda;28;169.92;Sergipe
17/02/2024;Estojo;62;150.39;Rio de Janeiro
17/02/2024;Caderno;89;65.28;Amapá
18/02/2024;Lápis;94;168.39;Minas Gerais
18/02/2024;Estojo;32;80.35;Bahia
18/02/2024;Caderno;77;68.35;Amapá
18/02/2024;Caderno;34;137.26;Rondônia
18/02/2024;Régua;57;175.94;Distrito Federal
18/02/2024;Caneta;87;45.02;Distrito Federal
18/02/2024;Marcador;86;184.06;Rondônia
18/02/2024;Régua;32;27.1;Sergipe
18/02/2024;Agenda;75;139.65;Santa Catarina
18/02/2024;Marcador;73;53.8;Amazonas
18/02/2024;Agenda;95;63.84;Piauí
19/02/2024;Agenda;96;177.8;Minas Gerais
19/02/2024;Lápis;74;22.14;Goiás
19/02/2024;Borracha;85;198.49;Paraná
19/02/2024;Régua;53;94.93;Distrito Federal
19/02/2024;Estojo;92;87.56;Mato Grosso
19/02/2024;Estojo;41;64.65;Paraíba
19/02/2024;Marcador;31;133.43;Tocantins
19/02/2024;Caneta;23;180.48;Acre
19/02/2024;Caderno;91;156.32;Acre
19/02/2024;Caderno;68;68.4;Tocantins
20/02/2024;Régua;8;14.41;Piauí
20/02/2024;Régua;11;76.62;Sergipe
20/02/2024;Agenda;58;61.34;Amazonas
20/02/2024;Lápis;78;43.2;Maranhão
20/02/2024;Lápis;4;47.71;Minas Gerais
20/02/2024;Agenda;86;76.73;Minas Gerais
20/02/2024;Caneta;6;154.18;Tocantins
20/02/2024;Lápis;16;31.03;Mato Grosso do Sul
21/02/2024;Lápis;56;32.52;Acre
21/02/2024;Agenda;66;105.48;Piauí
21/02/2024;Caderno;6;94.18;Piauí
21/02/2024;Lápis;73;20.17;Amazonas
21/02/2024;Caderno;24;95.09;Mato Grosso do Sul
21/02/2024;Caneta;3;53.95;Pará
21/02/2024;Régua;77;91.05;Mato Grosso
22/02/2024;Lápis;49;113.65;Bahia
22/02/2024;Caneta;66;175.33;Amazonas
22/02/2024;Agenda;92;61.16;Amazonas
22/02/2024;Marcador;64;163.99;Maranhão
22/02/2024;Agenda;35;55.69;Sergipe
22/02/2024;Marcador;61;162.57;Pernambuco
22/02/2024;Caneta;41;88.58;Mato Grosso
22/02/2024;Caderno;16;68.77;Rio Grande do Norte
22/02/2024;Marcador;66;45.08;Rio Grande do Norte
22/02/2024;Lápis;94;78.36;Rio Grande do Norte
22/02/2024;Estojo;13;105.77;Piauí
22/02/2024;Marcador;45;47.27;São Paulo
22/02/2024;Agenda;77;24.03;Rio Grande do Norte
22/02/2024;Caderno;55;128.53;Distrito Federal
23/02/2024;Lápis;72;100.51;Espírito Santo
23/02/2024;Caneta;87;17.05;Rio Grande do Sul
23/02/2024;Caderno;65;151.96;Mato Grosso do Sul
23/02/2024;Agenda;51;174.86;Goiás
23/02/2024;Caderno;16;198.21;Amazonas
23/02/2024;Caneta;15;153.31;Rio Grande do Norte
23/02/2024;Régua;79;151.2;Tocantins
23/02/2024;Lápis;48;89.65;Rio Grande do Sul
23/02/2024;Lápis;41;146.14;Rondônia
23/02/2024;Lápis;95;139.4;Mato Grosso do Sul
23/02/2024;Borracha;14;79.67;Piauí
23/02/2024;Régua;77;138.85;Roraima
23/02/2024;Marcador;91;145.89;Minas Gerais
23/02/2024;Régua;45;196.5;Acre
23/02/2024;Lápis;94;110.85;Bahia
24/02/2024;Estojo;83;145.14;Espírito Santo
24/02/2024;Agenda;74;24.88;Santa Catarina
24/02/2024;Caneta;77;151.15;Espírito Santo
24/02/2024;Régua;39;150.16;Pernambuco
24/02/2024;Marcador;62;132.24;Ceará
24/02/2024;Lápis;87;22.57;Distrito Federal
24/02/2024;Caneta;80;29.47;Mato Grosso
24/02/2024;Agenda;33;41.86;Santa Catarina
25/02/2024;Régua;85;154.06;Minas Gerais
25/02/2024;Marcador;52;19.31;Pará
25/02/2024;Marcador;96;14.67;Rio de Janeiro
25/02/2024;Caderno;40;145.96;Pernambuco
25/02/2024;Caderno;9;34.04;Maranhão
25/02/2024;Agenda;43;8.64;Goiás
25/02/2024;Borracha;36;122.76;Distrito Federal
25/02/2024;Marcador;65;172.76;Mato Grosso
25/02/2024;Agenda;18;132.41;Sergipe
26/02/2024;Marcador;47;168.24;Paraíba
26/02/2024;Régua;81;99.41;Espírito Santo
26/02/2024;Caderno;4;69.7;Amazonas
26/02/2024;Estojo;19;109.39;Goiás
26/02/2024;Régua;87;111.92;Rio de Janeiro
26/02/2024;Caneta;57;19.95;Ceará
26/02/2024;Marcador;24;60.26;Piauí
26/02/2024;Marcador;38;106.23;Roraima
26/02/2024;Régua;20;52.39;Mato Grosso
26/02/2024;Estojo;57;17.91;Rio Grande do Sul
26/02/2024;Borracha;90;31.3;Minas Gerais
26/02/2024;Borracha;17;143.56;Pará
27/02/2024;Marcador;45;83.3;Santa Catarina
27/02/2024;Régua;46;86.65;Rio Grande do Norte
27/02/2024;Caneta;28;105.89;Espírito Santo
27/02/2024;Estojo;63;134.03;Mato Grosso do Sul
